Name,Gender,Education,Last_Company,Email,LinkedIn,Phone_Number,Nationality,Designation,Degrees,Years_of_Experience,Skills,Path,APPLICANT NAME,ACCEPT/REJECT,REASON
Mariam Al-Hassan,Female,"Bachelor of Science in Information Technology, Ain Shams University, Cairo, Egypt, 2019",Innovative Enterprises,mariam.alhassan@example.com,linkedin.com/in/mariamalhassan,+20 100 555 0102,Egyptian,Systems Administrator,Bachelor of Science in Information Technology,5.5 years,"1. Windows Server 2016/2019 management
2. Linux (CentOS, Ubuntu) management
3. Active Directory management
4. VMware ESXi setup and maintenance
5. Microsoft Hyper-V setup and maintenance
6. Virtual machine management
7. Resource optimization
8. TCP/IP protocol understanding
9. Firewall configuration
10. VPN setup
11. Cisco device management
12. Juniper device management
13. AWS deployment and management
14. Azure deployment and management
15. IaaS solution management
16. PowerShell scripting
17. Bash scripting
18. System deployment automation
19. System documentation
20. User guidelines creation",Mid-Level Systems Administrator.docx,Mariam Al-Hassan,Accept,Holds a strong background in systems administration
Khalid Al-Nasser,Male,"Bachelor of Science in Computer Science, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia, 2002.",Saudi Aramco,khalid.alnasser@example.com,linkedin.com/in/khalidalnasser-it,+966 5500 1234,Saudi,Senior Systems Administrator,Bachelor of Science in Computer Science,14 years,"1. Advanced Systems Administration
2. IT Security and Compliance
3. Virtualization (VMware and Hyper-V)
4. Linux server management
5. Network infrastructure design
6. Network infrastructure implementation
7. Network infrastructure maintenance
8. LAN/WAN management
9. Firewall management
10. VPN management
11. Disaster recovery planning
12. Business continuity planning
13. Active Directory management
14. Exchange management
15. PowerShell scripting
16. Bash scripting
17. Cloud migration
18. Cloud management (AWS)
19. Cybersecurity threat management
20. Vulnerability assessment
21. Linux compatibility
22. Linux system management
23. Virtual machine management",System Administration_11.docx,Khalid Al-Nasser,Reject,Overqualified
Fatima Al-Farsi,Female,"Bachelor of Science in Information Technology, King Saud University, Riyadh, Saudi Arabia, 2018.",Saudi Telecom Company (STC),fatima.alfarsi@example.com,linkedin.com/in/fatimaalfarsi-it,+966 50 123 4567,Saudi,Junior Systems Administrator,Bachelor of Science in Information Technology.,5 years,"1. Windows Server setup and configuration
2. Windows Server routine maintenance
3. System availability and performance management
4. Network setup and configuration
5. Router setup and configuration
6. Switch setup and configuration
7. Basic network troubleshooting
8. Basic network security measures
9. Cloud storage solutions
10. Virtual machine management
11. AWS cloud platform
12. Azure cloud platform
13. VMware virtualization
14. Hyper-V virtualization
15. PowerShell scripting
16. PowerShell automation
17. Data backup and recovery processes
18. User account management
19. Server health checks
20. Scripting for automating administrative tasks",System Administration_24.docx,Fatima Al-Farsi,Reject,Professional experience does not match the required one
Aylin Demir,Female,"Bachelor of Science in Computer Engineering, Middle East Technical University, Ankara, 2015",Turkcell.,aylin.demir@example.com,linkedin.com/in/aylindemir-it,+90 532 123 4567,Turkish,Systems Administrator,Bachelor of Science in Computer Engineering,6.5 years.,"1. Windows configuration
2. Linux configuration
3. Server maintenance
4. Network systems management
5. Storage solutions management
6. LAN setup
7. WAN setup
8. Firewall setup
9. VPN setup
10. Network security protocols
11. AWS deployment
12. Azure deployment
13. VMware virtualization
14. Hyper-V virtualization
15. Docker containerization
16. Kubernetes containerization
17. PowerShell scripting
18. Bash scripting
19. Python scripting
20. Cybersecurity measures implementation
21. System audits
22. Data protection laws compliance
23. Automation of routine tasks
24. System management process improvement
25. Troubleshooting hardware issues
26. Troubleshooting software issues
27. Troubleshooting networking issues",System Administration_18.docx,Aylin Demir,Accept,Skill set matches the required one
Alex Johnson,Male,"MSc in Computer Science, University of Cambridge, 2018",Tech Innovate Ltd.,alex.johnson@example.com,"**Alex Johnson**
**Systems Engineer & Cybersecurity Expert**
linkedin.com/in/alexjohnsonsys

**About**
Highly skilled Systems Engineer & Cybersecurity Expert with 5+ years of experience in designing and implementing innovative IT systems, ensuring they meet the latest standards of efficiency and security. Proven track record of driving business growth through strategic IT planning, effective communication, and leadership.

**Experience**

* **Systems Engineer, Tech Innovate Ltd.** (September 2018 - Present)
",+44 7700 900002,British,Systems Engineer.,MSc in Computer Science,5.25 years,"1. Cybersecurity protocols design and implementation
2. IT security tool utilization
3. Threat management and response
4. Monitoring tools and techniques
5. IDS (Intrusion Detection Systems) implementation
6. Firewall configuration
7. Proactive threat hunting
8. Global and regional IT governance and compliance standards (e.g., GDPR, HIPAA, ISO/IEC 27001)
9. Data integrity and confidentiality policies implementation
10. Cybersecurity audits
11. Vulnerability assessments
12. Security architecture design
13. Scalable security framework creation
14. Digital forensics
15. Cybersecurity training and awareness program development
16. Cloud infrastructure migration
17. IT system design and implementation
18. Cybersecurity protocol development
19. Security audit and update implementation
20. IDS testing tools utilization
21. Firewall testing tools utilization
22. Network security
23. System scalability and reliability improvement
24. Cloud infrastructure planning and execution
25. IT strategy development and implementation","Senior Systems Engineer (Male, Non-Arab, Mid-Level).docx",Alex Johnson,Reject,The number of years in professional experience does not meet the requirements
Abdullah Al-Nasser,Male,"Bachelor of Science in Computer Science, King Saud University, Riyadh, Saudi Arabia, 2022.",Al Rajhi Bank,abdullah.alnasser@example.com,linkedin.com/in/abdullahalnasser,+966 55 123 4567,Saudi Arabian,IT Support Intern,Bachelor of Science in Computer Science.,2.5 years,"1. Windows system setup and configuration
2. Linux system setup and configuration
3. System monitoring tools and techniques
4. Network configuration
5. Router setup
6. Switch setup
7. Firewall setup
8. TCP/IP protocols
9. DHCP protocols
10. DNS protocols
11. PowerShell scripting
12. Bash scripting
13. Cloud services (AWS, Azure)
14. Cloud storage solutions
15. Data protection
16. Network security
17. Vulnerability assessments
18. System maintenance
19. Scripting and automation
20. Documentation creation",Entry-Level Systems Administrator_6.docx,Abdullah Al-Nasser,Reject,Still at entry level in terms of professional experience
Abdullah Al-Nasser,Male,"Bachelor of Science in Computer Science, King Saud University, Riyadh, Saudi Arabia, 2022.",Al Rajhi Bank,abdullah.alnasser@example.com,linkedin.com/in/abdullahalnasser,+966 55 123 4567,Saudi Arabian,IT Support Intern,Bachelor of Science in Computer Science.,2.5 years,"1. Windows system setup and configuration
2. Linux system setup and configuration
3. System monitoring tools and techniques
4. Network configuration
5. Router setup
6. Switch setup
7. Firewall setup
8. TCP/IP protocols
9. DHCP protocols
10. DNS protocols
11. PowerShell scripting
12. Bash scripting
13. Cloud services (AWS, Azure)
14. Cloud storage solutions
15. Data protection
16. Network security
17. Vulnerability assessments
18. System maintenance
19. Scripting and automation
20. Documentation creation",Entry-Level Systems Administrator_6.docx,Abdullah Al-Nasser,Reject,Lacks the required professional experience
Abdullah Al-Nasser,Male,"Bachelor of Science in Computer Science, King Saud University, Riyadh, Saudi Arabia, 2022.",Al Rajhi Bank,abdullah.alnasser@example.com,linkedin.com/in/abdullahalnasser,+966 55 123 4567,Saudi Arabian,IT Support Intern,Bachelor of Science in Computer Science.,2.5 years,"1. Windows system setup and configuration
2. Linux system setup and configuration
3. System monitoring tools and techniques
4. Network configuration
5. Router setup
6. Switch setup
7. Firewall setup
8. TCP/IP protocols
9. DHCP protocols
10. DNS protocols
11. PowerShell scripting
12. Bash scripting
13. Cloud services (AWS, Azure)
14. Cloud storage solutions management
15. Data protection
16. Network security
17. Vulnerability assessments
18. System setup
19. Software installation
20. Virtual machines
21. Operating system management
22. Server management",Entry-Level Systems Administrator_5.docx,Abdullah Al-Nasser,Reject,Still at entry level in terms of professional experience
Abdullah Al-Nasser,Male,"Bachelor of Science in Computer Science, King Saud University, Riyadh, Saudi Arabia, 2022.",Al Rajhi Bank,abdullah.alnasser@example.com,linkedin.com/in/abdullahalnasser,+966 55 123 4567,Saudi Arabian,IT Support Intern,Bachelor of Science in Computer Science.,2.5 years,"1. Windows system setup and configuration
2. Linux system setup and configuration
3. System monitoring tools and techniques
4. Network configuration
5. Router setup
6. Switch setup
7. Firewall setup
8. TCP/IP protocols
9. DHCP protocols
10. DNS protocols
11. PowerShell scripting
12. Bash scripting
13. Cloud services (AWS, Azure)
14. Cloud storage solutions management
15. Data protection
16. Network security
17. Vulnerability assessments
18. System setup
19. Software installation
20. Virtual machines
21. Operating system management
22. Server management",Entry-Level Systems Administrator_5.docx,Abdullah Al-Nasser,Reject,Lacks the required professional experience
Khalid Al-Rashid,Male,"Bachelor of Science in Computer Engineering, American University in Dubai, Dubai, UAE, 2014.",Dubai Media Inc.,khalid.alrashid@example.com,linkedin.com/in/khalidalrashid,+971 50 987 6543,Emirati,Senior Systems Administrator.,Bachelor of Science in Computer Engineering.,8.083 years.,"1. Advanced Systems Management
2. Virtualization (VMware, Hyper-V, AWS, Azure)
3. Cloud technologies
4. Network security
5. Firewall configurations
6. Intrusion detection systems
7. Cybersecurity frameworks
8. PowerShell scripting
9. Bash scripting
10. Python scripting
11. Ansible configuration management
12. Puppet configuration management
13. Disaster recovery planning
14. Business continuity planning
15. Project management
16. Team leadership
17. Stakeholder engagement
18. Cloud migration
19. Infrastructure upgrades
20. Network security protocols
21. Azure administration
22. CISSP (Certified Information Systems Security Professional)
23. Windows management
24. Linux management
25. MacOS management",Experienced Systems Administrator_7.docx,Khalid Al-Rashid,Reject,Does not show experience in working with a dynamic team environment
Khalid Al-Rashid,Male,"Bachelor of Science in Computer Engineering, American University in Dubai, Dubai, UAE, 2014.",Dubai Media Inc.,khalid.alrashid@example.com,linkedin.com/in/khalidalrashid,+971 50 987 6543,Emirati,Senior Systems Administrator.,Bachelor of Science in Computer Engineering.,8.083 years.,"1. Advanced Systems Management
2. Virtualization (VMware, Hyper-V, AWS, Azure)
3. Cloud technologies
4. Network security
5. Firewall configurations
6. Intrusion detection systems
7. Cybersecurity frameworks
8. PowerShell scripting
9. Bash scripting
10. Python scripting
11. Ansible configuration management
12. Puppet configuration management
13. Disaster recovery planning
14. Business continuity planning
15. Project management
16. Team leadership
17. Stakeholder engagement
18. Cloud migration
19. Infrastructure upgrades
20. Network security protocols
21. Azure administration
22. CISSP (Certified Information Systems Security Professional)
23. Windows management
24. Linux management
25. MacOS management",Experienced Systems Administrator_7.docx,Khalid Al-Rashid,Accept,Skill set matches the required one
Aisha Al-Thani,Female,"Bachelor of Science in Information Technology, Qatar University, Doha, Qatar, 2015.",Qatar Foundation,aisha.althani@example.com,https://linkedin.com/in/aishaalthani-it,+974 5000 1234,Qatari,Systems Administrator.,Bachelor of Science in Information Technology.,7.5 years,"1. Configuring servers
2. Managing networks
3. Maintaining storage systems
4. Implementing cybersecurity measures
5. Conducting vulnerability assessments
6. Ensuring data protection
7. Administering cloud platforms (AWS, Azure)
8. Automating routine tasks
9. Scripting using PowerShell and Bash
10. Diagnosing technical issues
11. Resolving complex technical issues
12. Deploying virtualization environments (VMware, Hyper-V)
13. Managing virtualization environments
14. Setting up servers
15. Configuring networks
16. Managing security
17. Creating backup and disaster recovery plans
18. Troubleshooting issues
19. Performing system upgrades
20. Scripting
21. Automation
22. Cloud scalability
23. Cost-efficiency
24. Agility
25. Resource utilization
26. Flexibility
27. Server setup
28. Network configuration
29. Security management",System Administration_12.docx,Aisha Al-Thani,Reject,Does not display knowledge of labour laws
Aisha Al-Thani,Female,"Bachelor of Science in Information Technology, Qatar University, Doha, Qatar, 2015.",Qatar Foundation,aisha.althani@example.com,https://linkedin.com/in/aishaalthani-it,+974 5000 1234,Qatari,Systems Administrator.,Bachelor of Science in Information Technology.,7.5 years,"1. Configuring servers
2. Managing networks
3. Maintaining storage systems
4. Implementing cybersecurity measures
5. Conducting vulnerability assessments
6. Ensuring data protection
7. Administering cloud platforms (AWS, Azure)
8. Automating routine tasks
9. Scripting using PowerShell and Bash
10. Diagnosing technical issues
11. Resolving complex technical issues
12. Deploying virtualization environments (VMware, Hyper-V)
13. Managing virtualization environments
14. Setting up servers
15. Configuring networks
16. Managing security
17. Creating backup and disaster recovery plans
18. Troubleshooting issues
19. Performing system upgrades
20. Scripting
21. Automation
22. Cloud scalability
23. Cost-efficiency
24. Agility
25. Resource utilization
26. Flexibility
27. Server setup
28. Network configuration
29. Security management",System Administration_12.docx,Aisha Al-Thani,Accept,Has a strong knowledge of IT infrastructure and network administration tasks
Priya Sharma,Female,"Bachelor of Technology in Information Technology, National Institute of Technology, Surathkal, India, 2015.",InfoTech Solutions.,priya.sharma@example.com,linkedin.com/in/priyasharmasysadmin,+91 98765 43210,Indian,Systems Administrator,Bachelor of Technology in Information Technology.,6.5 years,"1. Windows Server (2012, 2016, 2019)
2. Linux distributions (Ubuntu, CentOS)
3. PowerShell
4. Bash
5. VMware vSphere
6. AWS
7. Azure
8. IaaS (Infrastructure as a Service)
9. PaaS (Platform as a Service)
10. DHCP
11. DNS
12. VPN
13. Firewall settings
14. Scripting (for Windows and Linux systems)
15. Automation
16. Security policies
17. Vulnerability assessments
18. Compliance with IT standards
19. Backup and disaster recovery plans
20. Centralized logging and monitoring solution
21. Cloud migration
22. System updates
23. Patch management
24. User account management
25. Network configurations
26. Security configurations",Mid-level_India_system_admin.docx,Priya Sharma,Accept,Has shown strong problem solving skills
Ahmed Al-Najjar.,Male,"Bachelor of Science in Computer Science, Khalifa University, Abu Dhabi, UAE, 2022.",Etisalat.,ahmed.alnajjar@example.com,linkedin.com/in/ahmedalnajjar,+971 55 123 4567,UAE,IT Support Intern,Bachelor of Science in Computer Science,3.0 years,"1. Python programming
2. Bash scripting
3. PowerShell scripting
4. Windows operating system management
5. Linux operating system management
6. Network protocols (TCP/IP)
7. Firewall settings
8. VMware
9. VirtualBox
10. AWS services (EC2, S3)
11. Cloud computing concepts
12. Database Systems
13. Network Security
14. Operating Systems",Entry-Level Systems Administrator.docx,,,
Fahad Al-Sabah,Male,"Bachelor of Science in Computer Science, Kuwait University, Kuwait City, Kuwait, 2010.",Kuwait National Petroleum Company,fahad.alsabah@example.com,linkedin.com/in/fahadalsabah-it,+965 500 1234,Kuwaiti,Systems Administrator,Bachelor of Science in Computer Science,9.5 years,"1. Windows Server setup and configuration
2. Linux setup and configuration
3. Server maintenance
4. Network infrastructure management
5. Router configuration
6. Switch configuration
7. Firewall configuration
8. Network security protocols
9. AWS setup and configuration
10. Azure setup and configuration
11. Cloud infrastructure scalability
12. Disaster recovery planning
13. VMware setup and configuration
14. Hyper-V setup and configuration
15. Virtualization
16. PowerShell scripting
17. Bash scripting
18. Automation
19. Troubleshooting
20. Data protection regulations
21. Cybersecurity policies development
22. Vulnerability assessments
23. Cloud migration
24. Network upgrade
25. Server setup
26. Linux setup
27. Windows Server
28. Azure
29. AWS
30. VMware
31. Hyper-V
32. PowerShell
33. Bash
34. Scripting
35. Automation tools
36. Cloud platforms
37. Network devices configuration
38. Firewall setup
39. Switch setup
40. Router setup",System Administration_22.docx,Fahad Al-Sabah,Reject,Insufficient display of network configurations
Amir Fayed,Male,"Bachelor of Science in Computer Science from Ain Shams University, Cairo, Egypt, 2022.",Cairo Technology Solutions,amir.fayed@example.com,linkedin.com/in/amirfayed,+20 100 123 4567,Egyptian,IT Support Intern,Bachelor of Science in Computer Science.,2.5 years,"1. Windows administration
2. Linux administration
3. System monitoring
4. System maintenance
5. Network configurations
6. Router management
7. Switch management
8. DHCP management
9. DNS management
10. VMware
11. VirtualBox
12. AWS
13. Microsoft Azure
14. PowerShell scripting
15. Bash scripting
16. Firewall configurations
17. Wi-Fi security
18. CompTIA A+ certification",Experienced Systems Administrator_9.docx,Amir Fayed,Reject,Professional experience does not match the required one
Rajesh Kumar,Male,"Master of Technology in Information Technology, Indian Institute of Technology, Delhi, 2003
Bachelor of Science in Computer Science, University of Delhi, Delhi, 2001",Infosys.,rajesh.kumar@example.com,linkedin.com/in/rajeshkumar-it,+91 98765 43210,Indian,Senior Systems Administrator,"Master of Technology in Information Technology 
Bachelor of Science in Computer Science",16.9 years,"1. Linux Systems Management
2. Windows Server Configuration
3. Network Infrastructure
4. Network Security Protocols
5. Cloud Infrastructure Management (AWS and Azure)
6. Linux-based Virtualization Technologies (VMware, Hyper-V, KVM)
7. Disaster Recovery Planning
8. Linux Automation and Scripting (Bash, PowerShell)
9. Bash Scripting
10. PowerShell Scripting
11. Cloud Scaling
12. Cost-effectiveness in Linux Systems
13. Enhanced Performance in Linux Systems
14. Resource Utilization Optimization
15. Scalability through Virtualization
16. Linux Native KVM
17. VMware
18. Hyper-V
19. AWS
20. Azure
21. Linux
22. Windows Server
23. Linux Native KVM
24. Bash
25. PowerShell",System Administration_15.docx,Rajesh Kumar,Accept,Displays a strong background in software development
Rajesh Kumar,Male,"Master of Technology in Information Technology, Indian Institute of Technology, Delhi, 2003
Bachelor of Science in Computer Science, University of Delhi, Delhi, 2001",Infosys.,rajesh.kumar@example.com,linkedin.com/in/rajeshkumar-it,+91 98765 43210,Indian,Senior Systems Administrator,"Master of Technology in Information Technology 
Bachelor of Science in Computer Science",16.9 years,"1. Linux Systems Management
2. Windows Server Configuration
3. Network Infrastructure
4. Network Security Protocols
5. Cloud Infrastructure Management (AWS and Azure)
6. Linux-based Virtualization Technologies (VMware, Hyper-V, KVM)
7. Disaster Recovery Planning
8. Linux Automation and Scripting (Bash, PowerShell)
9. Bash Scripting
10. PowerShell Scripting
11. Cloud Scaling
12. Cost-effectiveness in Linux Systems
13. Enhanced Performance in Linux Systems
14. Resource Utilization Optimization
15. Scalability through Virtualization
16. Linux Native KVM
17. VMware
18. Hyper-V
19. AWS
20. Azure
21. Linux
22. Windows Server
23. Linux Native KVM
24. Bash
25. PowerShell",System Administration_15.docx,Rajesh Kumar,Reject,Professional experience is not enough
Rajesh Kumar,Male,"Master of Technology in Information Technology, Indian Institute of Technology, Delhi, 2003
Bachelor of Science in Computer Science, University of Delhi, Delhi, 2001",Infosys.,rajesh.kumar@example.com,linkedin.com/in/rajeshkumar-it,+91 98765 43210,Indian,Senior Systems Administrator,"Master of Technology in Information Technology 
Bachelor of Science in Computer Science",16.9 years,"1. Linux Systems Management
2. Windows Server Configuration
3. Network Infrastructure
4. Network Security Protocols
5. Cloud Infrastructure Management (AWS and Azure)
6. Linux-based Virtualization Technologies (VMware, Hyper-V, KVM)
7. Disaster Recovery Planning
8. Linux Automation and Scripting (Bash, PowerShell)
9. Bash Scripting
10. PowerShell Scripting
11. Cloud Scaling
12. Cost-effectiveness in Linux Systems
13. Enhanced Performance in Linux Systems
14. Resource Utilization Optimization
15. Scalability through Virtualization
16. Linux Native KVM
17. VMware
18. Hyper-V
19. AWS
20. Azure
21. Linux
22. Windows Server
23. Linux Native KVM
24. Bash
25. PowerShell",System Administration_15.docx,Rajesh Kumar,Reject,Overqualified
